                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.88777,                 1.1818,                 1.4812,                0.91924,                0.37324,                0.46755,                 0.3401,                 1.6704,                 2.2885,                 1.4921,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.94648,                 1.0929,                 1.2685,                0.91924,                0.37324,                0.46755,                 0.3401,                 1.6704,                 2.2885,                 1.4921,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.94415,                 1.9089,                 1.3046,                0.91563,                0.37302,                0.45402,                0.31959,                 1.6867,                  2.294,                 1.5059,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.80205,                 1.4182,                 1.2054,                0.91563,                0.37302,                0.45402,                0.31959,                 1.6867,                  2.294,                 1.5059,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72535,                 1.2464,                 1.1386,                0.91889,                0.37296,                0.45406,                 0.3365,                 1.6926,                 2.3169,                 1.5188,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.44698,                0.92246,                0.95134,                0.91889,                0.37296,                0.45406,                 0.3365,                 1.6926,                 2.3169,                 1.5188,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 0.7923,                0.87641,                 1.0844,                0.91867,                0.37303,                0.45252,                0.33626,                 1.6874,                 2.3482,                 1.5082,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.65265,                0.75494,                 1.0608,                0.91867,                0.37303,                0.45252,                0.33626,                 1.6874,                 2.3482,                 1.5082,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67072,                0.89737,                 1.0147,                0.92241,                0.37294,                 0.4522,                 0.3364,                 1.7005,                 2.3751,                 1.5131,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.54869,                 1.5461,                 1.0409,                0.92241,                0.37294,                 0.4522,                 0.3364,                 1.7005,                 2.3751,                 1.5131,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0408,                 1.3177,                 1.3186,                0.94065,                0.38893,                0.45866,                0.33978,                 1.7061,                 2.3744,                 1.5198,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.89696,                0.89837,                 1.3234,                0.94065,                0.38893,                0.45866,                0.33978,                 1.7061,                 2.3744,                 1.5198,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.60756,                0.76424,                  1.001,                0.94164,                0.38892,                0.45102,                0.33253,                 1.7266,                 2.4117,                 1.5272,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.71665,                0.96789,                 1.1539,                0.94164,                0.38892,                0.45102,                0.33253,                 1.7266,                 2.4117,                 1.5272,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 0.8295,                 1.6838,                 1.2523,                0.94206,                0.39086,                0.44893,                0.32383,                 1.7371,                 2.4336,                 1.5174,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 0.9271,                 1.4623,                 1.2631,                0.94206,                0.39086,                0.44893,                0.32383,                 1.7371,                 2.4336,                 1.5174,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.84216,                0.93114,                 1.3013,                0.94146,                0.39207,                 0.4508,                0.32481,                 1.7713,                  2.414,                 1.5558,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.66381,                 1.0795,                 1.2048,                0.94146,                0.39207,                 0.4508,                0.32481,                 1.7713,                  2.414,                 1.5558,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.78051,                0.85004,                 1.1405,                0.94253,                0.39192,                0.44917,                0.32386,                 1.7553,                 2.4022,                 1.5277,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.80554,                0.86758,                 1.2222,                0.94253,                0.39192,                0.44917,                0.32386,                 1.7553,                 2.4022,                 1.5277,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 0.6509,                0.71577,                 1.1973,                0.94253,                0.39192,                0.44917,                0.32386,                 1.7553,                 2.4022,                 1.5277,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.77228,                0.84475,                 1.2339,                 0.9441,                0.39253,                0.42215,                 0.2994,                 1.7607,                 2.4059,                 1.5278,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.69117,                0.89491,                 1.0439,                 0.9441,                0.39253,                0.42215,                 0.2994,                 1.7607,                 2.4059,                 1.5278,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1738,                 1.6438,                 1.5744,                 0.9441,                0.39253,                0.42215,                 0.2994,                 1.7607,                 2.4059,                 1.5278,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0356,                 1.4315,                  1.361,                0.94666,                0.38996,                0.42217,                0.29388,                 1.7727,                 2.4461,                 1.5438,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.82801,                 1.3765,                 1.2706,                0.94666,                0.38996,                0.42217,                0.29388,                 1.7727,                 2.4461,                 1.5438,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.75567,                0.73286,                 1.1659,                0.94666,                0.38996,                0.42217,                0.29388,                 1.7727,                 2.4461,                 1.5438,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.95987,                 0.8018,                 1.4972,                 0.9456,                0.39024,                0.42483,                0.27486,                 1.7814,                 2.4281,                 1.5388,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.60333,                0.69333,                 1.0652,                 0.9456,                0.39024,                0.42483,                0.27486,                 1.7814,                 2.4281,                 1.5388,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70521,                0.87265,                  1.055,                 0.9456,                0.39024,                0.42483,                0.27486,                 1.7814,                 2.4281,                 1.5388,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.74945,                0.81283,                 1.1468,                0.94596,                0.39078,                0.42484,                0.27396,                 1.8223,                 2.4717,                 1.5903,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.66125,                0.69152,                 1.0837,                0.94596,                0.39078,                0.42484,                0.27396,                 1.8223,                 2.4717,                 1.5903,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.58726,                 0.8337,                 1.1825,                0.94596,                0.39078,                0.42484,                0.27396,                 1.8223,                 2.4717,                 1.5903,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.63805,                0.90278,                 1.0863,                0.94574,                0.39042,                0.42168,                0.30783,                 1.8339,                 2.5057,                 1.5999,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.69322,                 1.0365,                 1.0721,                0.94574,                0.39042,                0.42168,                0.30783,                 1.8339,                 2.5057,                 1.5999,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.93386,                 1.7259,                  1.339,                0.94574,                0.39042,                0.42168,                0.30783,                 1.8339,                 2.5057,                 1.5999,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.62128,                0.99327,                 1.1305,                0.94565,                0.39156,                0.42131,                0.29256,                 1.8515,                 2.5105,                 1.6035,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                   0.88,                0.87134,                 1.3605,                0.94565,                0.39156,                0.42131,                0.29256,                 1.8515,                 2.5105,                 1.6035,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0018,                 1.2963,                 1.3787,                0.94565,                0.39156,                0.42131,                0.29256,                 1.8515,                 2.5105,                 1.6035,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.58395,                0.60399,                 1.0456,                0.94686,                0.39001,                0.42132,                0.29254,                 1.8732,                 2.5602,                 1.6311,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.66892,                0.87929,                 1.0539,                0.94686,                0.39001,                0.42132,                0.29254,                 1.8732,                 2.5602,                 1.6311,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.66022,                0.69242,                 1.1607,                0.94686,                0.39001,                0.42132,                0.29254,                 1.8732,                 2.5602,                 1.6311,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.68913,                0.56763,                  1.124,                0.94616,                0.39016,                 0.4214,                0.29253,                 1.8465,                 2.5262,                 1.5839,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.58051,                0.84143,                 1.1012,                0.94616,                0.39016,                 0.4214,                0.29253,                 1.8465,                 2.5262,                 1.5839,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.61658,                0.58839,                 1.0749,                0.94616,                0.39016,                 0.4214,                0.29253,                 1.8465,                 2.5262,                 1.5839,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.79022,                 1.0907,                 1.1386,                0.94536,                0.39111,                0.42141,                0.29324,                 1.8181,                 2.4701,                 1.5315,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58252,                0.72197,                 1.0988,                0.94536,                0.39111,                0.42141,                0.29324,                 1.8181,                 2.4701,                 1.5315,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.64504,                0.78206,                 1.1051,                0.94536,                0.39111,                0.42141,                0.29324,                 1.8181,                 2.4701,                 1.5315,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 0.5092,                0.46397,                0.98656,                0.93973,                0.38913,                0.42297,                0.29455,                 1.8259,                 2.4689,                 1.5402,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.75132,                0.69549,                 1.1549,                0.93973,                0.38913,                0.42297,                0.29455,                 1.8259,                 2.4689,                 1.5402,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.80104,                 0.7786,                 1.1928,                0.93973,                0.38913,                0.42297,                0.29455,                 1.8259,                 2.4689,                 1.5402,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.59145,                 0.6018,                 1.0294,                0.93766,                0.38802,                0.42131,                0.29264,                 1.8342,                 2.5001,                 1.5477,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.62434,                0.78796,                 1.1482,                0.93766,                0.38802,                0.42131,                0.29264,                 1.8342,                 2.5001,                 1.5477,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 0.8595,                0.84021,                 1.1393,                0.93766,                0.38802,                0.42131,                0.29264,                 1.8342,                 2.5001,                 1.5477,             1.6032e-05,             1.6032e-05,             1.6032e-05
